Organism (genomeID),Organism,TaxID,SEED_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Unnamed: 12,Prediction Mean,Prediction STD,Phenotype,Binary Prediction Mean
[Brevibacterium] halotolerans strain ATCC 25096 (260554.3),[Brevibacterium] halotolerans strain ATCC 25096 ,260554,260554.3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus, [Brevibacterium] halotolerans,,,0.0663070678710937,0.0180743866770041,Human Non Pathogenic,0.0
[Clostridium] amygdalinum strain src4 (253257.3),[Clostridium] amygdalinum strain src4 ,253257,253257.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium, [Clostridium] amygdalinum,,,0.30145263671875,0.0409637759234922,Human Non Pathogenic,0.0
[Clostridium] celerecrescens 18A (1286362.3),[Clostridium] celerecrescens 18A ,1286362,1286362.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium, [Clostridium] celerecrescens, [Clostridium] celerecrescens 18A,,0.190338134765625,0.1018273266238139,Human Non Pathogenic,0.0
[Clostridium] cocleatum strain ATCC 29902 (69824.4),[Clostridium] cocleatum strain ATCC 29902 ,69824,69824.4,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium, [Clostridium] cocleatum,,,0.426971435546875,0.1576969473165608,Human Non Pathogenic,0.0
[Clostridium] cocleatum strain DSM 1551 (69824.3),[Clostridium] cocleatum strain DSM 1551 ,69824,69824.3,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium, [Clostridium] cocleatum,,,0.465576171875,0.152249331436819,Human Non Pathogenic,0.0
[Clostridium] glycyrrhizinilyticum JCM 13369 (1291051.3),[Clostridium] glycyrrhizinilyticum JCM 13369 ,1291051,1291051.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium, [Clostridium] glycyrrhizinilyticum, [Clostridium] glycyrrhizinilyticum JCM 13369,,0.1537933349609375,0.0776323806102486,Human Non Pathogenic,0.0
[Clostridium] lactatifermentans DSM 14214 (1121323.3),[Clostridium] lactatifermentans DSM 14214 ,1121323,1121323.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum, Anaerotignum lactatifermentans, Anaerotignum lactatifermentans DSM 14214,,0.43194580078125,0.0965799722943826,Human Non Pathogenic,0.0
[Clostridium] lavalense strain NLAE-zl-G277 (460384.4),[Clostridium] lavalense strain NLAE-zl-G277 ,460384,460384.4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium, [Clostridium] lavalense,,,0.4091796875,0.1125120156547157,Human Non Pathogenic,0.0
[Clostridium] propionicum DSM 1682 (991789.4),[Clostridium] propionicum DSM 1682 ,991789,991789.4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum, Anaerotignum propionicum, Anaerotignum propionicum DSM 1682,,0.2996826171875,0.0431671762853657,Human Non Pathogenic,0.0
[Clostridium] symbiosum TS_8243C_1E9 (1512.8),[Clostridium] symbiosum TS_8243C_1E9 ,1512,1512.8,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium, [Clostridium] symbiosum, [Clostridium] symbiosum TS_8243C_1E9,,0.5457763671875,0.1474837228716353,Human Pathogenic,1.0
[Eubacterium] contortum strain 2789STDY5834876 (39482.4),[Eubacterium] contortum strain 2789STDY5834876 ,39482,39482.4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena, Faecalicatena contorta,,,0.2019500732421875,0.101311073271041,Human Non Pathogenic,0.0
[Eubacterium] fissicatena strain KCTC 15010 (290055.3),[Eubacterium] fissicatena strain KCTC 15010 ,290055,290055.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena, Faecalicatena fissicatena,,,0.0919265747070312,0.0564394798325939,Human Non Pathogenic,0.0
[Eubacterium] rectale strain R22 (39491.41),[Eubacterium] rectale strain R22 ,39491,39491.41,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,-, [Eubacterium] rectale, Eubacterium rectale strain R22,,0.28851318359375,0.0904839346797072,Human Non Pathogenic,0.0
[Haemophilus] ducreyi strain Cutaneous leg ulcer strain 2 (730.11),[Haemophilus] ducreyi strain Cutaneous leg ulcer strain 2 ,730,730.11,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus, [Haemophilus] ducreyi,,,0.9910888671875,0.0028964381146739,Human Pathogenic,1.0
[Ruminococcus] gnavus RGTS8243C_SV (33038.800),[Ruminococcus] gnavus RGTS8243C_SV ,33038,33038.8,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,[Ruminococcus] gnavus,,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; [Ruminococcus] gnavus RGTS8243C_SV,0.1366729736328125,0.0849726589382453,Human Non Pathogenic,0.0
[Ruminococcus] gnavus TS_8243C_3A11 (33038.15),[Ruminococcus] gnavus TS_8243C_3A11 ,33038,33038.15,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia, [Ruminococcus] gnavus, Ruminococcus gnavus TS_8243C_3A11,,0.1261367797851562,0.0774158821008324,Human Non Pathogenic,0.0
Abiotrophia defectiva ATCC 49176 (592010.4),Abiotrophia defectiva ATCC 49176 ,592010,592010.4,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia, Abiotrophia defectiva, Abiotrophia defectiva ATCC 49176,,0.31988525390625,0.0851596612859483,Human Non Pathogenic,0.0
Acaricomes phytoseiuli DSM 14247 (1120917.3),Acaricomes phytoseiuli DSM 14247 ,1120917,1120917.3,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Acaricomes, Acaricomes phytoseiuli, Acaricomes phytoseiuli DSM 14247,,0.551239013671875,0.2293624896963203,Human Pathogenic,1.0
Achromobacter xylosoxidans A8 (762376.5),Achromobacter xylosoxidans A8 ,762376,762376.5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter, Achromobacter xylosoxidans, Achromobacter xylosoxidans A8,,0.9078369140625,0.0289043838310982,Human Pathogenic,1.0
Achromobacter xylosoxidans strain NCTC10807 (85698.28),Achromobacter xylosoxidans strain NCTC10807 ,85698,85698.28,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter, Achromobacter xylosoxidans,,,0.9793701171875,0.0139881073643439,Human Pathogenic,1.0
Acidaminococcus fermentans DSM 20731 (591001.3),Acidaminococcus fermentans DSM 20731 ,591001,591001.3,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus, Acidaminococcus fermentans, Acidaminococcus fermentans DSM 20731,,0.220367431640625,0.0124829578454703,Human Non Pathogenic,0.0
Acidaminococcus intestini RyC-MR95 (568816.4),Acidaminococcus intestini RyC-MR95 ,568816,568816.4,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus, Acidaminococcus intestini, Acidaminococcus intestini RyC-MR95,,0.189727783203125,0.0699698456780231,Human Non Pathogenic,0.0
Acidaminococcus sp. D21 (563191.3),Acidaminococcus sp. D21 ,563191,563191.3,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,-, Acidaminococcus sp. D21,,0.1009979248046875,0.028696435879612,Human Non Pathogenic,0.0
Acidaminococcus sp. HPA0509 (1203555.3),Acidaminococcus sp. HPA0509 ,1203555,1203555.3,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,-, Acidaminococcus sp. HPA0509,,0.1331939697265625,0.0130999969992697,Human Non Pathogenic,0.0
Acidaminococcus sp. Marseille-P4266 (2058289.3),Acidaminococcus sp. Marseille-P4266,2058289,2058289.3,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus provencensis,,Bacteria; Terrabacteria group; Firmicutes; Negativicutes; Acidaminococcales; Acidaminococcaceae; Acidaminococcus; Acidaminococcus provencensis,0.1038055419921875,0.0399955507268217,Human Non Pathogenic,0.0
Acinetobacter baumannii 1656-2 (696749.3),Acinetobacter baumannii 1656-2 ,696749,696749.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii 1656-2,,0.9918212890625,0.0045330675360417,Human Pathogenic,1.0
Acinetobacter baumannii AB0057 (480119.5),Acinetobacter baumannii AB0057 ,480119,480119.5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii AB0057,,0.9910888671875,0.0040614757713901,Human Pathogenic,1.0
Acinetobacter baumannii AB307-0294 (557600.4),Acinetobacter baumannii AB307-0294 ,557600,557600.4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii AB307-0294,,0.9913330078125,0.0044534756706432,Human Pathogenic,1.0
Acinetobacter baumannii ACICU (405416.6),Acinetobacter baumannii ACICU ,405416,405416.6,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii ACICU,,0.9775390625,0.0153672900213439,Human Pathogenic,1.0
Acinetobacter baumannii ATCC 17978 (400667.7),Acinetobacter baumannii ATCC 17978 ,400667,400667.7,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii ATCC 17978,,0.9791259765625,0.017439828013132,Human Pathogenic,1.0
Acinetobacter baumannii ATCC 19606 (575584.3),Acinetobacter baumannii ATCC 19606 ,575584,575584.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841,,0.9903564453125,0.0057399013405804,Human Pathogenic,1.0
Acinetobacter baumannii AYE (509173.8),Acinetobacter baumannii AYE ,509173,509173.8,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii AYE,,0.984375,0.0072176491694797,Human Pathogenic,1.0
Acinetobacter baumannii Canada BC-5 (903895.3),Acinetobacter baumannii Canada BC-5 ,903895,903895.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii Canada BC-5,,0.9906005859375,0.004358781999843,Human Pathogenic,1.0
Acinetobacter baumannii LAC-4 (1455315.5),Acinetobacter baumannii LAC-4 ,1455315,1455315.5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii LAC-4,,0.9864501953125,0.0084458190032079,Human Pathogenic,1.0
Acinetobacter baumannii MDR-TJ (889738.3),Acinetobacter baumannii MDR-TJ ,889738,889738.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii MDR-TJ,,0.985595703125,0.0136827697941426,Human Pathogenic,1.0
Acinetobacter baumannii MDR-ZJ06 (497978.4),Acinetobacter baumannii MDR-ZJ06 ,497978,497978.4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii MDR-ZJ06,,0.99169921875,0.0035714694429511,Human Pathogenic,1.0
Acinetobacter baumannii OIFC137 (903889.3),Acinetobacter baumannii OIFC137 ,903889,903889.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii OIFC137,,0.9908447265625,0.0037723479346587,Human Pathogenic,1.0
Acinetobacter baumannii OIFC143 (903893.3),Acinetobacter baumannii OIFC143 ,903893,903893.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii OIFC143,,0.957763671875,0.0268277111521434,Human Pathogenic,1.0
Acinetobacter baumannii SDF (509170.6),Acinetobacter baumannii SDF ,509170,509170.6,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii SDF,,0.988037109375,0.0104354054068176,Human Pathogenic,1.0
Acinetobacter baumannii strain AB31 (470.1294),Acinetobacter baumannii strain AB31 ,470,470.1294,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii,,,0.9940185546875,0.0034245019870863,Human Pathogenic,1.0
Acinetobacter baumannii strain AC29 (470.1288),Acinetobacter baumannii strain AC29 ,470,470.1288,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii,,,0.9888916015625,0.0067514925825316,Human Pathogenic,1.0
Acinetobacter baumannii TCDC-AB0715 (980514.3),Acinetobacter baumannii TCDC-AB0715 ,980514,980514.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii TCDC-AB0715,,0.9896240234375,0.0044934478318618,Human Pathogenic,1.0
Acinetobacter baumannii TYTH-1 (1100841.3),Acinetobacter baumannii TYTH-1 ,1100841,1100841.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii TYTH-1,,0.993408203125,0.0030977972510863,Human Pathogenic,1.0
Acinetobacter baumannii WC-141 (903915.3),Acinetobacter baumannii WC-141 ,903915,903915.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,-, Acinetobacter sp. WC-141,,0.98779296875,0.0079636261866699,Human Pathogenic,1.0
Acinetobacter calcoaceticus ANC 3680 (1217653.3),Acinetobacter calcoaceticus ANC 3680 ,1217653,1217653.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter calcoaceticus, Acinetobacter calcoaceticus ANC 3680,,0.990234375,0.0037346334328072,Human Pathogenic,1.0
Acinetobacter calcoaceticus ANC 3811 (1217690.3),Acinetobacter calcoaceticus ANC 3811 ,1217690,1217690.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter calcoaceticus, Acinetobacter calcoaceticus ANC 3811,,0.9783935546875,0.0167066947755072,Human Pathogenic,1.0
Acinetobacter calcoaceticus DSM 30006 = CIP 81.8 (981331.5),Acinetobacter calcoaceticus DSM 30006 = CIP 81.8 ,981331,981331.5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter calcoaceticus, Acinetobacter calcoaceticus DSM 30006 = CIP 81.8,,0.989013671875,0.0057515717721629,Human Pathogenic,1.0
Acinetobacter calcoaceticus NIPH 13 (1217654.3),Acinetobacter calcoaceticus NIPH 13 ,1217654,1217654.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter calcoaceticus, Acinetobacter calcoaceticus NIPH 13,,0.9866943359375,0.0065634790326025,Human Pathogenic,1.0
Acinetobacter calcoaceticus PHEA-2 (871585.3),Acinetobacter calcoaceticus PHEA-2 ,871585,871585.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter pittii, Acinetobacter pittii PHEA-2,,0.988037109375,0.008502966194955,Human Pathogenic,1.0
Acinetobacter calcoaceticus RUH2202 (575585.3),Acinetobacter calcoaceticus RUH2202 ,575585,575585.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter calcoaceticus, Acinetobacter calcoaceticus RUH2202,,0.989501953125,0.0069096541494555,Human Pathogenic,1.0
Acinetobacter calcoaceticus strain KCTC 2357 (471.18),Acinetobacter calcoaceticus strain KCTC 2357 ,471,471.18,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter calcoaceticus,,,0.9879150390625,0.0063511765328752,Human Pathogenic,1.0
Acinetobacter haemolyticus ATCC 19194 (707232.3),Acinetobacter haemolyticus ATCC 19194 ,707232,707232.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter haemolyticus, Acinetobacter haemolyticus ATCC 19194,,0.97021484375,0.0212808855784579,Human Pathogenic,1.0
Acinetobacter haemolyticus CIP 64.3 (1217659.3),Acinetobacter haemolyticus CIP 64.3 ,1217659,1217659.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter haemolyticus, Acinetobacter haemolyticus CIP 64.3,,0.9791259765625,0.0117206571934376,Human Pathogenic,1.0
Acinetobacter haemolyticus NIPH 261 (1217986.3),Acinetobacter haemolyticus NIPH 261 ,1217986,1217986.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter haemolyticus, Acinetobacter haemolyticus NIPH 261,,0.9852294921875,0.0088186824566196,Human Pathogenic,1.0
Acinetobacter johnsonii ANC 3681 (1217662.4),Acinetobacter johnsonii ANC 3681 ,1217662,1217662.4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter johnsonii, Acinetobacter johnsonii ANC 3681,,0.977783203125,0.0096705577736027,Human Pathogenic,1.0
Acinetobacter johnsonii SH046 (575586.4),Acinetobacter johnsonii SH046 ,575586,575586.4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter johnsonii, Acinetobacter johnsonii SH046,,0.9638671875,0.019294833797343,Human Pathogenic,1.0
Acinetobacter junii BEED01 (40215.71),Acinetobacter junii BEED01 ,40215,40215.71,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii, Acinetobacter junii BEED01,,,,,
Acinetobacter junii CIP 107470 (1217666.5),Acinetobacter junii CIP 107470 ,1217666,1217666.5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii, Acinetobacter junii CIP 107470,,0.9600830078125,0.0131263904743253,Human Pathogenic,1.0
Acinetobacter junii NIPH 182 (1217665.3),Acinetobacter junii NIPH 182 ,1217665,1217665.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii, Acinetobacter junii NIPH 182,,0.98046875,0.0158935359362888,Human Pathogenic,1.0
Acinetobacter junii NIPH 182 (1217665.6),Acinetobacter junii NIPH 182 ,1217665,1217665.6,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii, Acinetobacter junii NIPH 182,,0.98046875,0.0158935359362888,Human Pathogenic,1.0
Acinetobacter junii SH205 (575587.3),Acinetobacter junii SH205 ,575587,575587.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii, Acinetobacter junii SH205,,0.969482421875,0.0134366092830244,Human Pathogenic,1.0
Acinetobacter junii strain 65 (40215.38),Acinetobacter junii strain 65 ,40215,40215.38,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii,,,0.9698486328125,0.0215242189795104,Human Pathogenic,1.0
Acinetobacter junii strain lzh-X15 (40215.43),Acinetobacter junii strain lzh-X15 ,40215,40215.43,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii,,,0.9866943359375,0.0079589469300307,Human Pathogenic,1.0
Acinetobacter junii strain NCTC10307 (40215.64),Acinetobacter junii strain NCTC10307 ,40215,40215.64,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii,,,0.9754638671875,0.0131852890620046,Human Pathogenic,1.0
Acinetobacter junii strain NCTC12153 (40215.63),Acinetobacter junii strain NCTC12153 ,40215,40215.63,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii,,,0.9747314453125,0.010914888169139,Human Pathogenic,1.0
