Organism (genomeID),Organism,TaxID,SEED_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Unnamed: 12,Prediction Mean,Prediction STD,Phenotype,Binary Prediction Mean
Acinetobacter junii BEED01 (40215.71),Acinetobacter junii BEED01 ,40215,40215.71,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii, Acinetobacter junii BEED01,,,,,
Acinetobacter ursingii BEED03 (108980.40),Acinetobacter ursingii BEED03 ,108980,108980.4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter ursingii, Acinetobacter ursingii BEED03,,,,,
Actinomyces naeslundii BEED02 (1655.82),Actinomyces naeslundii BEED02 ,1655,1655.82,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces, Actinomyces naeslundii, Actinomyces naeslundii BEED02,,,,,
Actinomyces sp. BEED04 (1654.11),Actinomyces sp. BEED04 ,1654,1654.11,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,-, Actinomyces sp. BEED04,,,,,
Aggregatibacter sp. BEED05 (416916.59),Aggregatibacter sp. BEED05 ,416916,416916.59,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,-, Aggregatibacter sp. BEED05,,,,,
Bifidobacterium longum BEED06 (216816.378),Bifidobacterium longum BEED06 ,216816,216816.378,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum BEED06,,,,,
Campylobacter concisus BEED07 (199.994),Campylobacter concisus BEED07 ,199,199.994,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter concisus, Campylobacter concisus BEED07,,,,,
Campylobacter jejuni BEED08 (197.15238),Campylobacter jejuni BEED08 ,197,197.15238,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter jejuni, Campylobacter jejuni BEED08,,,,,
Enterococcus hirae BEED11 (1354.82),Enterococcus hirae BEED11 ,1354,1354.82,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus, Enterococcus hirae, Enterococcus hirae BEED11,,,,,
Escherichia coli BEED10 (562.39594),Escherichia coli BEED10 ,562,562.39594,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli BEED10,,,,,
Faecalibacterium prausnitzii FPSSTS7063_SV (853.234),Faecalibacterium prausnitzii FPSSTS7063_SV,853,853.234,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium ; Faecalibacterium prausnitzii FPSSTS7063_SV,,,,
Fusobacterium nucleatum BEED12 (851.120),Fusobacterium nucleatum BEED12 ,851,851.12,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium, Fusobacterium nucleatum, Fusobacterium nucleatum BEED12,,,,,
Fusobacterium periodonticum BEED13 (860.70),Fusobacterium periodonticum BEED13 ,860,860.7,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium, Fusobacterium periodonticum, Fusobacterium periodonticum BEED13,,,,,
Gemella haemolysans BEED14 (1379.83),Gemella haemolysans BEED14 ,1379,1379.83,Bacteria,Firmicutes,Bacilli,Bacillales,-,Gemella, Gemella haemolysans, Gemella haemolysans BEED14,,,,,
Granulicatella adiacens BEED15 (46124.3),Granulicatella adiacens BEED15 ,46124,46124.3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella, Granulicatella adiacens, Granulicatella adiacens BEED15,,,,,
Haemophilus haemolyticus BEED18 (726.153),Haemophilus haemolyticus BEED18 ,726,726.153,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus, Haemophilus haemolyticus, Haemophilus haemolyticus BEED18,,,,,
Haemophilus influenzae BEED16 (727.1826),Haemophilus influenzae BEED16 ,727,727.1826,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus, Haemophilus influenzae, Haemophilus influenzae BEED16,,,,,
Haemophilus parainfluenzae BEED17 (729.354),Haemophilus parainfluenzae BEED17 ,729,729.354,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus, Haemophilus parainfluenzae, Haemophilus parainfluenzae BEED17,,,,,
Lactobacillus oris BEED19 (1632.12),Lactobacillus oris BEED19 ,1632,1632.12,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus, Lactobacillus oris, Lactobacillus oris BEED19,,,,,
Leptotrichia sp. BEED20 (32067.3),Leptotrichia sp. BEED20 ,32067,32067.3,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,-, Leptotrichia sp. BEED20,,,,,
