Organism (genomeID),Organism,TaxID,SEED_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,
[Brevibacterium] halotolerans strain ATCC 25096 (260554.3),[Brevibacterium] halotolerans strain ATCC 25096 ,260554,260554.3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus, [Brevibacterium] halotolerans,,
[Clostridium] amygdalinum strain src4 (253257.3),[Clostridium] amygdalinum strain src4 ,253257,253257.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium, [Clostridium] amygdalinum,,
[Clostridium] celerecrescens 18A (1286362.3),[Clostridium] celerecrescens 18A ,1286362,1286362.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium, [Clostridium] celerecrescens, [Clostridium] celerecrescens 18A,
[Clostridium] cocleatum strain ATCC 29902 (69824.4),[Clostridium] cocleatum strain ATCC 29902 ,69824,69824.4,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium, [Clostridium] cocleatum,,
[Clostridium] cocleatum strain DSM 1551 (69824.3),[Clostridium] cocleatum strain DSM 1551 ,69824,69824.3,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium, [Clostridium] cocleatum,,
[Clostridium] glycyrrhizinilyticum JCM 13369 (1291051.3),[Clostridium] glycyrrhizinilyticum JCM 13369 ,1291051,1291051.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium, [Clostridium] glycyrrhizinilyticum, [Clostridium] glycyrrhizinilyticum JCM 13369,
[Clostridium] lactatifermentans DSM 14214 (1121323.3),[Clostridium] lactatifermentans DSM 14214 ,1121323,1121323.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum, Anaerotignum lactatifermentans, Anaerotignum lactatifermentans DSM 14214,
[Clostridium] lavalense strain NLAE-zl-G277 (460384.4),[Clostridium] lavalense strain NLAE-zl-G277 ,460384,460384.4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium, [Clostridium] lavalense,,
[Clostridium] propionicum DSM 1682 (991789.4),[Clostridium] propionicum DSM 1682 ,991789,991789.4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum, Anaerotignum propionicum, Anaerotignum propionicum DSM 1682,
[Clostridium] symbiosum TS_8243C_1E9 (1512.8),[Clostridium] symbiosum TS_8243C_1E9 ,1512,1512.8,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium, [Clostridium] symbiosum, [Clostridium] symbiosum TS_8243C_1E9,
[Eubacterium] contortum strain 2789STDY5834876 (39482.4),[Eubacterium] contortum strain 2789STDY5834876 ,39482,39482.4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena, Faecalicatena contorta,,
[Eubacterium] fissicatena strain KCTC 15010 (290055.3),[Eubacterium] fissicatena strain KCTC 15010 ,290055,290055.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena, Faecalicatena fissicatena,,
[Eubacterium] rectale strain R22 (39491.41),[Eubacterium] rectale strain R22 ,39491,39491.41,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,-, [Eubacterium] rectale, Eubacterium rectale strain R22,
[Haemophilus] ducreyi strain Cutaneous leg ulcer strain 2 (730.11),[Haemophilus] ducreyi strain Cutaneous leg ulcer strain 2 ,730,730.11,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus, [Haemophilus] ducreyi,,
[Ruminococcus] gnavus RGTS8243C_SV (33038.800),[Ruminococcus] gnavus RGTS8243C_SV ,33038,33038.800,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,[Ruminococcus] gnavus,,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; [Ruminococcus] gnavus RGTS8243C_SV
[Ruminococcus] gnavus TS_8243C_3A11 (33038.15),[Ruminococcus] gnavus TS_8243C_3A11 ,33038,33038.15,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia, [Ruminococcus] gnavus, Ruminococcus gnavus TS_8243C_3A11,
Abiotrophia defectiva ATCC 49176 (592010.4),Abiotrophia defectiva ATCC 49176 ,592010,592010.4,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia, Abiotrophia defectiva, Abiotrophia defectiva ATCC 49176,
Acaricomes phytoseiuli DSM 14247 (1120917.3),Acaricomes phytoseiuli DSM 14247 ,1120917,1120917.3,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Acaricomes, Acaricomes phytoseiuli, Acaricomes phytoseiuli DSM 14247,
Achromobacter xylosoxidans A8 (762376.5),Achromobacter xylosoxidans A8 ,762376,762376.5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter, Achromobacter xylosoxidans, Achromobacter xylosoxidans A8,
Achromobacter xylosoxidans strain NCTC10807 (85698.28),Achromobacter xylosoxidans strain NCTC10807 ,85698,85698.28,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter, Achromobacter xylosoxidans,,
